IMAGE NAME,COUNT,prompt,day
radish_p2_d1_L1_0.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_15.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_30.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_45.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_60.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_75.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_90.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_105.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_120.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_135.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_150.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_165.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_180.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_195.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_210.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_225.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_240.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_255.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_270.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_285.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
radish_p2_d1_L1_300.png,2.0,A radish plant with 2.0 leaves growing in soil at day 1.0,1.0
